number,0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z
0,0.9381423011954511,0.7315880092702458,0.9996992339361258,0.8385166696671046,0.39153189634424457,0.9005288115013799,0.6241891635672782,0.2112246048616616,0.6803301987410906,0.38297645677645714,0.11401426217561293,0.4768588760514869,0.2172948275003543,0.0,0.29249764281613927,0.9403392441960677,0.18038992929502035,0.24122739076444702,0.4789886353625231,0.0701568098774907,0.01815195774843293,0.18866538286226459,0.045376237673754,0.0,0.0,0.029758027733317177,0.012629917940394749,1.0,0.4799452671759579,0.18269420330317976,0.44437571100803225,0.38299360945470823,0.06984448699888433,0.4544782493785263,0.3931528429258835,0.28650866284646764,0.6007694686926645,0.39309965850891765,0.4093936517762167,0.9949116243349562,0.75233211985344,0.1297489385725616,0.44211125815384966,0.7016083236978654,0.051534187931845124,0.4377891911457715,0.6785676897934728,0.2750297761506447,0.5668843101354794,0.6653602823486643,0.3994292639210262,0.9515760438651258,1.0,0.058852042618167136,0.5724306515802093,0.9495056037188698,0.009968833941992512,0.4834019124919084,0.9129633650251868,0.08733569562008915,0.512403379514542,0.9298536250397621,0.11602063509722733
1,1.0,1.0,0.7588136894239229,0.8637668129308417,0.6455112123456593,1.0,0.6367062839594659,0.34297672047849254,0.8886933649575028,0.4169240569768721,0.1440399487101887,0.7510232641208633,0.23236479707338262,0.0,0.6157136281322028,0.8221215394301732,0.02050384540847344,0.5156519314891843,0.4065443241120317,0.06792608108143983,0.48400354250456706,0.19039326098328638,0.08462354287291966,0.4918956993572033,0.0,0.07964349333524476,0.44537834149955746,0.8420597012131741,0.23018904489982292,0.3261308013284003,0.40940000922958464,0.33714476097939117,0.40275937926568894,0.5173319336205692,0.5031352622762376,0.7041401423917093,0.6407108264641236,0.4934910787054367,0.8402298968697283,0.8281064087202148,0.4887127903303308,0.15662029428194293,0.40698595650929364,0.5988749160434637,0.28282885913521727,0.544476916518407,0.7441610054077301,0.5901097504136386,0.6603890431276546,0.7265241595718416,0.7172849746769032,0.7946625570273766,0.7372374118290446,0.0,0.47662284980529124,0.7878491994594925,0.13926022549222528,0.5739415586573988,0.8839615804270434,0.3773808549171338,0.6635041892955535,0.8956892134765838,0.4820228845831692
2,0.9835351859044525,0.9033163578869965,0.9998616680052663,0.8043547191130257,0.5652982302882551,0.9284303623972238,0.5985092334310229,0.2645909085524493,0.7559420345629606,0.39295575721196285,0.07664262412527581,0.5898194584320667,0.19313618869390206,0.0,0.3926853053604924,0.8465968715793933,0.12641630355788822,0.30279530210306044,0.3560516930899333,0.12097828476734176,0.08121421478529903,0.14915327848592916,0.25103221502024325,0.037769060085367304,0.0,0.3055832478112673,0.0,0.9597694290455846,0.3596770640415097,0.271926428290692,0.37102115038310796,0.4526157036662856,0.14511581512200192,0.2852434589174111,0.5800169736350043,0.2866999070935705,0.3232721302213905,0.5888965604859907,0.3668632101475071,1.0,0.6358917282492562,0.2377815974037592,0.42673634405564775,0.7243482979469597,0.13227121888849203,0.3541930016595459,0.8007425883804394,0.2640561834406884,0.4186547085201794,0.8029876988421999,0.34024441555987583,0.993319444934854,0.8858695303689282,0.19655240476583033,0.5842053599802267,0.9765949027580689,0.07233996857065188,0.48504078245824656,1.0,0.08968760145860764,0.48607252568765225,0.9572483496677491,0.08861924026599433
3,1.0,0.9171215983569163,1.0,0.8946269546055838,0.4753017355748462,0.9308232126191497,0.6764581261017738,0.16772179928037861,0.7544232175070101,0.47186574837838907,0.015116644583899943,0.5873865856948545,0.29914764051527126,0.0,0.4115431876443037,0.8358503565138936,0.16985507367972244,0.3506315684636266,0.3932384228845042,0.15453983197520424,0.1672749398364127,0.17642438073523634,0.1276319719816932,0.08477436257293607,0.0,0.14032826778786167,0.0,0.9029023376776402,0.4476228458576483,0.30111018613768864,0.4223643408299421,0.47209386292946864,0.21946197218268107,0.3824881310150494,0.5773224016884664,0.3585400929960365,0.4283636828263677,0.6167166146846887,0.4155006342093219,0.9339045725779558,0.747014917475412,0.24483975596103777,0.4589398436327962,0.7479157074877025,0.18174478555719548,0.4280206360063185,0.8049137484982464,0.3849229884474698,0.4868904533425873,0.8033165814485119,0.4840204250605074,0.931776687955042,0.9974749658461577,0.18184227409009127,0.5808189099339275,1.0,0.09845744154080123,0.5212664791426912,0.9819416772790116,0.16901807399595908,0.5183714622830586,0.9264319228996972,0.20813228599460482
4,1.0,0.7969207515613885,0.9130053967454232,0.7114944694403633,0.46804760856098976,1.0,0.4143704699650328,0.3194734743165585,0.807006130777146,0.15921007863323083,0.31747883770616575,0.6240473319681832,0.0,0.36441987261627723,0.4637641007793683,0.5759779001619556,0.0,0.3380019635939828,0.24070385365801453,0.24444526007116557,0.17402089903758453,0.08266457462565649,0.37917284289269315,0.1763732103401185,0.019212662157860324,0.5291760410079944,0.17264191810418858,0.7251050148005098,0.1880779412894715,0.22724495695240593,0.33511749188044004,0.5882003711530859,0.2173707523616335,0.41140016332455315,0.6616241617825651,0.49708611046540496,0.5278618695409664,0.5864954966673063,0.6313642090128629,0.8482169324403331,0.45855714774477063,0.11849106652036592,0.4574797393676637,0.8372165750803714,0.16772016952300808,0.5464433353153629,0.8718234022194491,0.47855196947348727,0.6657864928454039,0.7955256005910288,0.6471817446580008,0.9373438031623038,0.7486313568980771,0.0,0.6229756479158697,0.9844691793979559,0.07765562167626162,0.6583714287065427,1.0,0.26323501416562717,0.7240584135416513,0.9822489576075866,0.3423883702816191
5,1.0,0.6327436938196493,0.8616853218075766,0.8302860690226014,0.3126572426456838,1.0,0.5720753224656842,0.16398366439704135,0.8868484356267328,0.3571278136711655,0.10668099801771412,0.810445452857117,0.17237219782493735,0.0,0.7337031592394528,0.5892015726668659,0.025344762793580458,0.29235756451913275,0.3030369024900559,0.26199870697255256,0.13700367054861456,0.13610484445772883,0.3630724896833864,0.08625029063830557,0.0,0.4335401702308036,0.024834845023899405,0.6523902237141609,0.24773818153321708,0.18211611768415284,0.34430368105212333,0.6333672322622815,0.2035354130509176,0.425125146575311,0.6693130390953794,0.5256744629865422,0.504123790035178,0.5877509693253282,0.6527715860165545,0.7191621640263951,0.5110137085843843,0.08690519419181039,0.4383138436070172,0.8554363255223314,0.1544987553010156,0.5419673050835767,0.8497176177661259,0.4568437018539917,0.641188972938174,0.7823118832072068,0.5991903864518884,0.7769485664359782,0.7761758802293254,0.0,0.5536094543949601,1.0,0.06536742381034125,0.6272593750718506,0.965740471937208,0.25004398676309103,0.7079798588278574,0.9196096695655891,0.326202475548459
6,1.0,0.5680386896022582,0.8754321481738748,0.8393466832709777,0.16588018963541123,1.0,0.5794461976341129,0.017283510623182504,0.9052383426159544,0.34039119795313527,0.032012342404637635,0.8645572586983039,0.16805277973883107,0.0,0.7907202923008161,0.5763460012442909,0.13642714381790455,0.024859661331510227,0.29775183107543196,0.22173170188782904,0.0,0.12774403206000348,0.28329891731630846,0.03832625780640807,0.0,0.3513540650367999,0.06880853343116357,0.5755836510996777,0.465075281090451,0.04405256555043488,0.2847483098519715,0.4905552898049654,0.31283661799255413,0.3317955555316948,0.42712321565581457,0.7590560645717788,0.4094602862447214,0.37671803809758364,0.9662425169662012,0.5862255800685495,0.7607382709266749,0.13048628643569748,0.3267768880710167,0.7223176819391689,0.44753131774877186,0.3875902116058518,0.6598414810885566,0.7629127130434032,0.4651739993999487,0.6456433348173267,0.8432317642674477,0.6038300454746404,1.0,0.23049170306891142,0.4071645633552822,0.8946318117664889,0.5119426359282877,0.44398801631825763,0.8184982144717773,0.780472023665837,0.5144837235559794,0.8140928853567742,0.8866332900091711
7,1.0,0.5681344254008291,1.0,0.8717740657563289,0.15369834142652447,0.8807937094284427,0.5995089380850123,0.0,0.7333820644776404,0.3571461990940336,0.0899445655240972,0.6610795305256582,0.18612711669917872,0.17766252669481275,0.585079328750915,0.6737764604473004,0.10330314762700069,0.23248232575499922,0.34461146719560243,0.22461654427777392,0.05807300453753612,0.1505071130381566,0.34230378381323173,0.008310747302142693,0.0,0.444782442436915,0.0,0.6922156150790398,0.4596380505613824,0.29448574237036307,0.34301352665715895,0.466416570719887,0.27668685421186445,0.3557658025015163,0.37362069880259746,0.5208302666225587,0.41582278740389816,0.2884729186160923,0.6403852743861419,0.6947600596145544,0.759657137097421,0.3651506528267979,0.3615582088859018,0.7141918883076032,0.39597853914281156,0.38813562447748473,0.5941517183149977,0.6330908506758831,0.4695704856045331,0.5223548324670045,0.7415681836992345,0.6931371886082105,1.0,0.43171777096051606,0.4357704061002464,0.8790342611389299,0.4978360176615069,0.45867621264527975,0.7773756307170037,0.6564690540378321,0.5275500453529608,0.7397232385836936,0.7244464940307384
8,1.0,0.8265271830275005,0.9998306088122622,0.7773176795945684,0.5089372649266489,0.997689034682519,0.5530360078382741,0.31014181741211716,0.7821428194267248,0.3591646060156914,0.23188726248432845,0.591255606922134,0.19040931451897936,0.13782047315889737,0.4274439257498428,0.6946836657326627,0.0,0.3433815395792254,0.3628009919528903,0.2291414429229692,0.15427146932161417,0.1613372707609846,0.3485217447937867,0.09055509262495397,0.0,0.4478382206880831,0.0,0.8133765163577654,0.238520605044206,0.2614318854193958,0.48423581830464885,0.5332484491264634,0.19894430031294333,0.5359670072053119,0.622897894719703,0.4414078208507184,0.6172728009241701,0.5681892635589495,0.553779768295551,0.9073725417033689,0.5421674780598206,0.18369340505768306,0.5919827147399512,0.8106605662927202,0.16016055003195814,0.6283407641574872,0.8451630656007294,0.4739371887266648,0.6929309961392852,0.7914916065584447,0.6316465673206979,0.9713892020705387,0.8393021476138528,0.09782517047272729,0.7372348038220463,0.993581256004038,0.09220311997903989,0.7145391850764219,1.0,0.2571269660791164,0.7309138961522286,0.994817070192292,0.32799847023367407
9,1.0,0.8982344791952355,0.929908807081964,0.8442105284644396,0.560280537965489,1.0,0.6359964646110698,0.31073662127855817,0.8088954081622285,0.4433752622114144,0.1940011303537741,0.627370235136314,0.2821153274351216,0.09096831049123014,0.4770454784211588,0.7030470616332054,0.0,0.3145320975236246,0.37342273412936283,0.13470197190104852,0.13826246370191256,0.1682310331759101,0.17168793204849048,0.08205054733477221,0.0,0.16177309350883057,0.012826205898593174,0.7892354347215201,0.20162935277808314,0.2025320431944045,0.44247916767310036,0.4876584540209911,0.19209417288567332,0.512523890751311,0.6109998893334059,0.49098897312175893,0.6227333128757967,0.5509619665934935,0.6301815625112545,0.8549912193621739,0.5042569626498394,0.10745706172553247,0.5155122333574423,0.764135436664842,0.13641028829189705,0.5871280136026743,0.8304054801801312,0.4571619802492046,0.6893392646581539,0.7493257295389867,0.6231668525995948,0.8969035409002178,0.8245804940319615,0.0,0.6257594180080301,0.959335393434547,0.02783134914779492,0.6423140331670648,1.0,0.22047940738357963,0.6973711158180077,0.9758354495080889,0.3173625659847978
