number,0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z
0,1.0,0.9192092159660141,0.0,0.6535022126759399,1.0,0.31498701128683126,0.40082460952566673,0.9878611322504586,0.4545516793070832,0.18296122428203337,0.9699374171436265,0.48865814410037567,0.0061091746114135745,0.9650717730188796,0.5311449998608772,0.43191582511376436,0.47387955745113697,0.8902817327520011,0.22363345334692628,0.2846590664739506,0.9906723212586716,0.10253514973977937,0.24365654408753748,0.999098612750838,0.0,0.2401869071503765,1.0,0.49256020873092915,0.3550394438409083,0.6935435336849013,0.28372962672474733,0.09242629639255737,0.8477963018414981,0.13775467042145276,0.07111297262023407,0.8872030390048632,0.017664127310954694,0.10646564861231352,0.9120037066818069,0.5532569280248228,0.2960679567174198,0.46952271394316514,0.36694406965089954,0.03900779901684894,0.6031275736689576,0.21336705758310498,0.0,0.6722346984047113,0.07563365599831379,0.019703783205655828,0.7051918859740722,0.6188289904280676,0.27120160206128896,0.26760007941838515,0.46721970421500547,0.05133252681788519,0.3565760419231675,0.3415641341456595,0.004001413583490243,0.4732002178647463,0.23780853554261583,0.018525796963787207,0.5979303315237894
1,1.0,1.0,0.5424354696913418,0.6523102428060067,0.9233981733328226,0.693461113161526,0.37957958330875574,0.8187557886149914,0.7067525766801381,0.1619125823867076,0.7183935987777149,0.5790040352733788,0.0,0.6399763159733098,0.4839891705494552,0.5297109570569797,0.47058707541706196,1.0,0.36894705415454604,0.24375421118219573,0.9253414367421555,0.26692206675380076,0.1435844118091126,0.8278991249261014,0.1825914002195944,0.06282013435220468,0.7258940839028896,0.6354789838222465,0.4229576188877296,0.773359906754001,0.46359048231085337,0.17110019177075844,0.650789208080471,0.32546643113563006,0.07583479997025412,0.4541718762993998,0.21305313832688105,0.007033096793529822,0.31104228054677135,0.7445890469789213,0.4088176239805841,0.5173917315030607,0.6001001731297998,0.16749547614808938,0.4437300920048106,0.4535353974379273,0.07209065055581972,0.31314527765239364,0.3221036978165776,0.0,0.18628077938753032,0.8640967291610397,0.4262586786972208,0.2840482385791143,0.7488779678100684,0.2387909315642049,0.16847130160490054,0.6316986899879647,0.1470082860291284,0.07168785011800478,0.5077442729014091,0.06961351769766923,0.0
2,1.0,1.0,0.9167030130365355,0.6680806281803047,0.9337399766083401,0.982984355477901,0.4149126300393721,0.7676197555726829,0.9434883357275595,0.20733967982530443,0.6581527944533486,0.8283262048250322,0.0,0.5340096508986827,0.6939061041034621,0.6406212442802189,0.36413507661953737,1.0,0.4958188721953227,0.1283570342121416,0.833635930194789,0.29203678753857165,0.04166179680967836,0.6464626527708089,0.10089786925682538,0.02510046889571259,0.4997890211453408,0.7484830772532989,0.36030348676311574,0.8192917758900415,0.6178884683714623,0.06729331850172414,0.6101032625581094,0.3702160722410898,0.0,0.38858281191329863,0.16096942916163687,0.02985317687674753,0.23940178473521387,0.8685632229275523,0.4090408111724191,0.6229173399021735,0.7607426335783412,0.1193209634879237,0.43621642198969235,0.5109007341365048,0.04652627311683652,0.24908261710767227,0.3141651004437459,0.06329295234296653,0.14187861989559417,0.9910124378352153,0.4952932661933302,0.4341995191748549,0.8673241402921823,0.26515901343099746,0.264627140369707,0.6696128509810217,0.1748424413962091,0.11258233549100986,0.48551683582465516,0.1417906879616318,0.0
3,1.0,1.0,0.49219247806975774,0.6807491212265734,0.9956117731315867,0.7733748216078735,0.4509741578789324,0.9191101084118009,0.8239945816287382,0.25058437696877633,0.9144146327684646,0.7519036945443709,0.056302341236896904,0.9072567932777029,0.6651025266194637,0.4934359403120995,0.33214029933976136,1.0,0.2973276652201987,0.11442848265392963,0.9781725469216557,0.14829436505553298,0.045905809844717274,0.8996271000190587,0.035204909747859246,0.017187343391508927,0.8352188918285378,0.5499262046212393,0.27256647489434904,0.7416852069837455,0.32173558487744275,0.02770523799023583,0.7004927506515027,0.1390777932826579,0.016299128368392375,0.5815504507414111,0.0,0.03456093129545633,0.5007875504250393,0.6206520096483532,0.2655846747372622,0.469473561917205,0.40615327849708643,0.0,0.41864490638112356,0.21201451570801366,0.002349742410353883,0.3521960769841785,0.06686234217896557,0.030380452709019373,0.28978054301103057,0.6942040206705566,0.30891586376815294,0.20868362587870226,0.5139642053160149,0.08169610071053557,0.12851332746055272,0.35078024874538044,0.05190353919244234,0.056169044841396835,0.20913237438593804,0.054894021040891784,0.0
4,1.0,1.0,0.9384172540647774,0.6652468024973434,0.8920205293972365,1.0,0.4227312315449485,0.750168589910599,0.9315941660630831,0.22350841247054118,0.6647081067278288,0.8138281419105359,0.0,0.5688294348515363,0.684861204310222,0.6705184975500603,0.30843970162326717,0.8200453389607304,0.48202029596978746,0.023667671262531616,0.5846562673339671,0.26368884605332427,0.0,0.4266248864280263,0.08232965561554033,0.04436979466815346,0.31858837489317404,0.801368790996144,0.31795249821044524,0.6624768402913614,0.5918182573863267,0.023365375549349948,0.39940188354137096,0.3290965814673278,0.02278809339611941,0.24836760678849365,0.1343123356690698,0.08336644001298885,0.18001790527102862,0.9118047926406703,0.40872393733538437,0.49860120037756134,0.727849632190777,0.11857088380980706,0.2692970382104171,0.4625068989971835,0.11737744864012777,0.16573624498237302,0.27261429494682626,0.1808719073494038,0.14391341052527973,0.9858575238197941,0.5479446183887887,0.34800541933307916,0.8385110447609184,0.3257059397270388,0.1579197676917657,0.6303530414374178,0.268566568147301,0.0567518736786366,0.43961009151983127,0.260630732580222,0.0
5,0.9636648396751996,0.9245032424809257,0.6992676862648097,0.6514132992424594,1.0,0.6524586101770009,0.41127907526736274,0.8636635608872419,0.6231800531274674,0.22854721687710444,0.7502198042119798,0.5161909955102401,0.0,0.6653712478388378,0.3468552207459528,0.5426748162951902,0.40043335359269244,1.0,0.40455991961768006,0.1552394833273342,0.8973264356107056,0.22872757316033276,0.08180162743628629,0.6912990100515503,0.06459849287570579,0.09766576778053804,0.5107398988688799,0.6770968296636576,0.3300263765054376,0.8808760728763895,0.5058034496675565,0.030079837610418426,0.7336543772396836,0.29065696986414485,0.027133694067941628,0.42184432055523924,0.15761459365243133,0.13506635431848893,0.19355268738556872,0.8305084146373269,0.31337861201753714,0.7236128678667626,0.6710690397663502,0.0,0.5655421182402417,0.44248159636529044,0.020623476860074704,0.2746569426515313,0.3030476233418163,0.1361823106290826,0.0831289216690267,1.0,0.3352259115236415,0.5557554163624258,0.8360225427672047,0.11280269547822906,0.35911425816761616,0.6485275987108062,0.09958635502658303,0.15167078482339896,0.510781371494601,0.16631029863868907,0.0
6,1.0,0.9727069078327215,0.519914787198427,0.6651806341380319,1.0,0.4869999559629545,0.3978981707841637,0.8648282428538159,0.4804049605517218,0.19406996108208996,0.7351649448441171,0.39121427935476727,0.0,0.6063029636682504,0.2597240341386687,0.5298299428053141,0.43509048479826873,1.0,0.4448269830842971,0.1913049677524631,0.9815332723152721,0.3303399035911472,0.08129278482155729,0.8231662110999985,0.21818755686566968,0.045969018283901895,0.6668466044983574,0.6641625356861454,0.3730175804921017,0.8585436720542884,0.5457039036982555,0.09623770815147391,0.7514773004123176,0.4008368119788085,0.019629886044444725,0.4345859521881249,0.28312565910052967,0.051350261639927064,0.19680513914860057,0.8146058101687924,0.35020777521304286,0.6714001788789866,0.692243422952964,0.06901020419479381,0.5392227187823049,0.5358009449457707,0.0,0.2344691129635696,0.4150625586460601,0.038654190120260896,0.027807377167110684,0.9875529345676614,0.35170616481651934,0.4655901586146109,0.8522050918595993,0.13020020246795447,0.345998318975357,0.7114158063345436,0.04035631508322891,0.15866417727119722,0.5729515682533316,0.01875006931121289,0.0
7,1.0,0.9613761889932466,0.42046779213451924,0.665997277417476,1.0,0.3336302014387167,0.39489463149529774,0.8581012305734288,0.31933135071631014,0.1926784107275365,0.7171350115529225,0.2082179781995914,0.0,0.6044204797976384,0.08592928888964756,0.5265008850147443,0.44321446307512813,1.0,0.42895103386212013,0.21423743610444793,0.9454727639330774,0.3320980550726519,0.1066655653603879,0.7794623139256586,0.22061930858332734,0.0497958966645985,0.6288980484152976,0.6644219687148604,0.37733627565408334,0.874615292700189,0.5471145361698246,0.11674547179631499,0.7505607530368124,0.42504916261290737,0.0326618735605713,0.4537677644873824,0.3106550863349864,0.03854916607293458,0.25568244594214107,0.8166225767349008,0.3587452561553951,0.6828715188760985,0.7074048280229525,0.09937558433519825,0.566113931980129,0.574970134041579,0.009280171749244377,0.3023224906541942,0.45372092125737,0.0,0.11273368266109873,0.9935360593073904,0.3669489275272678,0.4540641968553373,0.8766299094636056,0.16390130099189143,0.3161061473258024,0.7568016321461213,0.0672329304817075,0.14182041046325072,0.62299950705819,0.019450515578352243,0.0
8,1.0,1.0,0.9723486756082159,0.7095501018724704,0.9439251389288718,1.0,0.4552289302867427,0.8507385327704287,0.9035696476934402,0.27784202766327126,0.8532791417507912,0.756757748775,0.08202141489376014,0.8391205508646667,0.585416477809027,0.5317967174592323,0.19761138619316407,0.851275951726657,0.29087966093334017,0.007138693856767787,0.6117702371213273,0.12107103368792295,0.11363828057154048,0.4530708371155517,0.0,0.27108881310185684,0.3630749207573165,0.6565313233555282,0.16600789198328006,0.69018219187908,0.373844062621299,0.0,0.4265415324797347,0.18820646153984139,0.1727934336357955,0.24161717781609052,0.08593487237414926,0.3726908641791554,0.15722732264855874,0.7782844964998622,0.2323578690559721,0.5214208902635052,0.5114588466611292,0.05946045071612269,0.27848474038199467,0.3112135455257083,0.2099497650134588,0.15019784175735754,0.20007190118594603,0.3994584100013136,0.1093810027547359,0.8789409249292822,0.3802692742080544,0.3614283411433841,0.6759067746064743,0.25179149483679064,0.16095665294522862,0.49848748406140553,0.2908579004942542,0.05148109759452762,0.36242557629323724,0.3693842825200843,0.0
9,1.0,0.9319566420670534,0.9997529537351386,0.7144679484879212,1.0,0.9287592739064356,0.4155037346670016,0.9393799653719995,0.8489883949345722,0.21671897412805108,0.9091247044697007,0.7178952344477353,0.02362124084116622,0.8921909126304866,0.5860758495912036,0.4470857339563018,0.4044014781258995,0.9586720575448299,0.2703082144255542,0.14444078385575218,0.7394767965368186,0.12265890634164589,0.10504954712217904,0.5271844892744305,0.0,0.141006905252203,0.35947418297847294,0.574661425229334,0.32515957664491574,0.8337537577864206,0.4136688716990012,0.0009947605315784457,0.5225678682155036,0.2575140306045489,0.005673861666785172,0.24173503580710834,0.14158613074780033,0.10019543123474908,0.09480744479357009,0.7191170301513905,0.3310989897613512,0.6850378498798247,0.6018566475992924,0.012839635502914207,0.41840142982111694,0.4588996093691698,0.0,0.18676265399248004,0.3437471915767786,0.06647839910999682,0.07389575036432255,0.8878383643870182,0.38157857133548717,0.5377048048278377,0.803748734919462,0.14991642502589783,0.2774617923166481,0.6762698995144186,0.08590343621060939,0.09018007901151265,0.5437024790973922,0.08368917380005153,0.0
