number,0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z
0,0.5513658385273358,1.0,0.9992040187208905,0.22711994519239567,0.9010821541628781,0.7788794936432812,0.0,0.5820972158985197,0.6399547487817479,0.07531760962078761,0.32768180558812765,0.5019773458330197,0.26039280270824544,0.1399517121923887,0.36514150416814867,0.1273317221325871,0.2735582564010604,0.7012241713678953,0.0034772479263043025,0.0,0.2749332654867946,0.03000850231972739,0.1952136624644373,0.05995145164765839,0.08631617471485986,0.40644410045895946,0.0,0.4322092864969327,0.26363992348551774,0.6504238764431453,0.366620026645065,0.19709524631386105,0.16337548645708663,0.39716633974019944,0.48475584554686735,0.09252464413019267,0.4273533684584022,0.6612758654392685,0.1784823836981383,0.7210752644980173,0.30607022491499014,0.5441794679412124,0.6648684595180233,0.32049248501809785,0.0771872071197327,0.6358927324134761,0.6035312691870709,0.07623690557475278,0.6168368246402135,0.7723132311841839,0.18511242708011516,1.0,0.3757875982671963,0.42622296414950817,0.9249809757806625,0.3739626921444491,0.12975344187048754,0.8486654035923975,0.5778425719822835,0.12536088041268695,0.8006520676704313,0.6904968011414168,0.21240470114205456
1,0.6107259465501833,1.0,0.9992730292331257,0.25915934958870007,0.9024569447478539,0.6130162118499518,0.0,0.588887219100215,0.39933041325112917,0.09798346541924866,0.28649377055478065,0.24281297256989906,0.36106734464543266,0.13089349009663265,0.2608701031922952,0.19082487088810696,0.3054047907785202,0.6933086170225348,0.11661805000486658,0.0,0.25351324882536225,0.15187687842688477,0.23064423266879613,0.31416756225865416,0.19209490129687035,0.344404198114123,0.4922351644882492,0.4758219361917374,0.29912060745363805,0.7025153322773312,0.4505487439794483,0.1688264996126035,0.0,0.41183198789548353,0.5174955425765425,0.08487785209958869,0.41754388034697254,0.5074707561671185,0.3677077044791859,0.7415255112123098,0.3330522614550682,0.6315089416437252,0.7312944812961035,0.2525028998755455,0.01772209114673396,0.6226452379758558,0.5875436474189242,0.1743831592383632,0.6339805395712099,0.6000005473810553,0.4249247357505168,1.0,0.38836586352596003,0.520307316172467,0.9919775134420892,0.3096853106312846,0.21353102827176712,0.8579135046173539,0.5440392939978672,0.2762022096198645,0.8403731636026863,0.5761795190909096,0.41802446752068806
2,0.5817828713148526,1.0,0.9993708906294813,0.22978399135965438,0.9104417409890744,0.6412174189487554,0.0,0.5893852546669174,0.40281896435266606,0.09794551782071283,0.29913032606230483,0.21342793378082317,0.28890355614224567,0.10775868753186285,0.13734508778980054,0.08744389775591023,0.2757427556248219,0.5995011870512335,0.006950678027121085,0.0,0.12197491573875242,0.04332893315732629,0.19974490339863885,0.046584228646821255,0.08358414336573462,0.3257918946737923,0.1318642393518031,0.40374694987799514,0.2525165589872122,0.6140422343922259,0.3996907876315053,0.20194307624015523,0.0,0.3804292171686868,0.5353419929195832,0.025441974694138808,0.36860634425377015,0.5337728386733684,0.20997310543767905,0.703914956598264,0.2926393516876243,0.5587157175299619,0.720591223648946,0.28624142166602373,0.008151127751941024,0.63442497699908,0.6072051867057712,0.10067447351901988,0.6187075483019321,0.6143775171243608,0.28941221041255516,0.984540581623265,0.3542899585112645,0.47155973546080643,1.0,0.33907817599468615,0.1679705408444918,0.8790199607984319,0.571420748503052,0.22373343913310104,0.84685627425097,0.585341863691315,0.3486210304312122
3,0.5112272470928523,1.0,0.9991697695638896,0.20467899991581007,0.8425678056138908,0.7417826405162868,0.0,0.5316933801828365,0.5573548899125821,0.10541272098416883,0.2880061265300474,0.3751853206481067,0.3454780200833365,0.1327320012504473,0.27031435524456776,0.15193112109857487,0.28859937224018073,0.7273079518853361,0.08122368343661017,0.0,0.283171524553332,0.1216308167461858,0.20629722602496153,0.15536371573699803,0.16094002101288568,0.38888899303156826,0.16426000641542846,0.45723439516449904,0.30753956855158177,0.6726705671492131,0.40155197805987175,0.23473883680836014,0.054549882879824214,0.40228085532362956,0.5312461302571301,0.004311335840183116,0.42698137557130944,0.6721655839197332,0.13683123862372792,0.7285877887686011,0.3614166442913057,0.5489397188860903,0.6718483843028439,0.33382586694645516,0.0,0.6245924572736069,0.6150766009226184,0.06431808111071621,0.6205225081220224,0.7721775480757833,0.20903434458167292,1.0,0.42981963896918596,0.40476372174911956,0.9348825435048617,0.3401720522828106,0.09389749422720137,0.8363716674336024,0.5293091499329291,0.1017515588973889,0.7987030136537625,0.6576012914672411,0.18645133176363488
4,0.7118399748998807,1.0,0.8212859464176803,0.3604720479980583,0.8577145172352089,0.8180152758344499,0.1381507013529793,0.5138976374152521,0.802218535442487,0.1259386645434176,0.23705865042324167,0.7011845089550506,0.11105382022039562,0.0,0.4667608795836977,0.2912608370061004,0.2557552378338283,1.0,0.010462724250918315,0.08124072020261545,0.47226989510159034,0.0,0.2041905640656545,0.1147498449068246,0.04901212679112142,0.35772800612222216,0.0,0.5298078716105219,0.22292477185837015,0.8557783092255581,0.27962243263962683,0.19580072384585245,0.3622985152228389,0.33206629036220536,0.4717118239128514,0.13417472996700278,0.3821570119018372,0.6580084512208433,0.16858409688230402,0.764007968103905,0.24917241346878982,0.6236596239011777,0.5256710878000989,0.2825473849750629,0.15830135787787264,0.5445630714495023,0.559740300562103,0.10368172503334054,0.5642524574733533,0.7322037648597416,0.25355983525917475,1.0,0.31564540116816237,0.38633656710249126,0.7469511346852273,0.3422016784135485,0.04004852261573444,0.7098301894052633,0.5567673003638535,0.06553602338891466,0.7208120835762934,0.6787328267286875,0.26015279743699504
5,0.46102344677319085,1.0,0.7975732139258812,0.09636140103410229,0.8095712877877616,0.7311802360541249,0.0,0.4642481933155861,0.7142277115463187,0.12322842142487962,0.20558957659025734,0.6339103054275975,0.21764449466262298,0.0,0.4594369257616837,0.19175544602212977,0.30860113399255673,1.0,0.041819903251125765,0.09195303068686322,0.5268430230106306,0.033425535147601416,0.15940761413872373,0.14714406339370276,0.07452622443854535,0.28757948397158745,0.0,0.4613903520499257,0.33579067888121666,0.9105064187919133,0.3838413058377748,0.21583079649791698,0.4215025728504775,0.31990225590349264,0.46965444787092164,0.1480613588185716,0.26501243032614763,0.6577619143990825,0.12223760304865024,0.7319992489389272,0.4009348668981072,0.7531502398495635,0.6318798886147236,0.31336132697603086,0.2897786492275179,0.5120770222418908,0.5624601666126513,0.19668089362095756,0.42944305371347286,0.7295193292470352,0.31328558988151,1.0,0.4897363719691834,0.5819873583291756,0.8737467663569756,0.4038038142871363,0.2562719859952694,0.7365235293766392,0.5776349476145256,0.2835266968612607,0.6663291757370119,0.6950936117035504,0.4732559426872444
6,0.8929911145781212,1.0,0.9340431284852362,0.5402951862084826,0.9589251403144223,0.8064903626592409,0.25400165131893143,0.6059231507880455,0.7351982485021226,0.25857230321696406,0.26447267268879304,0.619756908366065,0.3122531179781392,0.0,0.6318816985057575,0.24899796848404984,0.37522114936376955,1.0,0.0,0.07792242649842424,0.439293877158779,0.10465052435073849,0.2622039262533222,0.30529643039336296,0.23607126984768292,0.4308993115910242,0.35620049460823155,0.4874705917088043,0.3164531387686302,0.8548011304024828,0.33807232859796393,0.128345616478764,0.10394724454089663,0.46546630076588463,0.4511436338160462,0.04068965687984152,0.5689275439790571,0.5651076145620137,0.2563242520921414,0.7339796682651517,0.2998628470003607,0.6462813098896173,0.6243871006506859,0.1418511341795931,0.0,0.6954466486202577,0.48920649558529183,0.12942262867009902,0.7757086219774596,0.61705429648363,0.4078160103322819,1.0,0.3053083725823796,0.41830051089955933,0.8694344388053733,0.19087221482665187,0.11277613235444714,0.8755072315130494,0.4341420566433476,0.20092864684006145,0.9271244155895281,0.5265028709190106,0.37981131351127023
7,0.7123354781708834,1.0,0.728151008631962,0.3170925388237506,0.833236942924638,0.679997615174613,0.14684736394395348,0.520881528537681,0.6453292180764797,0.17152229456601242,0.23462588281374314,0.5286140086015676,0.16720408617156815,0.0,0.4097464297712651,0.14632841465194857,0.31598734378633764,1.0,0.0,0.08106433371277494,0.4944583089418699,0.027011348863088338,0.05500434521842373,0.12849774880534504,0.1363185783082253,0.10047705602271753,0.0,0.4116628312314231,0.3188108177578673,0.9163432774702023,0.39309147799662647,0.07935929448340862,0.3861559503247263,0.4016147806541207,0.3657042925862006,0.21965474188058237,0.4287124936850979,0.4970798296184776,0.3387771525041279,0.6922141556221163,0.3599673802616923,0.7579096080908305,0.6885654605999788,0.1810364875947074,0.2618056860612141,0.6388953640784676,0.47924270798908186,0.24470848549380905,0.6468454532322745,0.577408230210896,0.4620273438163011,1.0,0.42376895678037674,0.5941521317791819,0.9402428743829356,0.2750651782763559,0.3175515356399271,0.8578621582023414,0.48323724892593545,0.3795623395192368,0.8649807056334659,0.5606568011848371,0.5818770432007099
8,0.8262611167887581,1.0,0.8188711996503225,0.38849313645801853,0.8345963759039325,0.8098952475278942,0.15864219212147745,0.4902554328585212,0.8223427100623367,0.160223118304774,0.19745235836617225,0.7665233131139785,0.20485038538681846,0.0,0.75126121024456,0.17203030012354592,0.32268969448158613,1.0,0.0,0.016028130354446054,0.4374566356816228,0.06663185551834834,0.09875671915585778,0.09967832613966518,0.16570226803766816,0.23821902457932273,0.0,0.4560185903071627,0.3249154940137311,0.8557289684550099,0.41522968506248337,0.07617971862119115,0.23401691835992625,0.4629387484863281,0.35465274314088135,0.11713924491370098,0.46578037675374984,0.5055459722118091,0.2924076680974311,0.7261074236456648,0.35679054123489756,0.6332136284349231,0.6944780815980048,0.1664434305623784,0.03538919595734614,0.6771174638251346,0.4610453239248989,0.021964106497441047,0.6766811224287411,0.6001145176609334,0.24877138204568522,1.0,0.4094704021347296,0.41348316332455776,0.932214183763917,0.25609344826398345,0.10007323711299576,0.8806732495317444,0.46489451840778767,0.15289531468666737,0.8757580980996431,0.5673328240443087,0.34966722357010677
9,1.0,1.0,0.9990458515548759,0.6408149123458091,0.9804894271297433,0.7974502710335025,0.28358518021392276,0.6579987864572845,0.6749882951558291,0.21134835952844433,0.28839978642350184,0.5550008203138708,0.24366536538328398,0.0,0.46706532287823893,0.22731990302434557,0.3710358591781517,0.7650022709847135,0.0,0.010494117213484802,0.3519756367280264,0.10521808607181862,0.15479502930095815,0.1341431629163343,0.2327718209256098,0.3389258962381492,0.07612152802529105,0.48195116413821837,0.27675991114726295,0.7075051170889325,0.40044152988014015,0.13626031412592676,0.16060175946077834,0.5415676774430561,0.46127763321439214,0.017465936978899487,0.6360677956375925,0.6590561392932934,0.07689985142371196,0.7312851893825755,0.2440668685727974,0.5912589183514261,0.6933603361589832,0.18888665133724422,0.060784907904396494,0.7954635751882536,0.5384545186916728,0.0,0.8727475208773964,0.7491167155198776,0.08132094827683599,0.9811687100703617,0.22876618331163787,0.4735486518109041,0.9196869684754277,0.18996440537942513,0.12173627803851306,0.9569307217850307,0.45993795400910026,0.0861625497174691,0.9950635849182524,0.620040039012371,0.17481808377679103
