number,0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z
0,0.6569339745507022,1.0,0.9996577516716947,0.3807563555658163,0.9392521929688806,0.5437846870768149,0.2829920196845207,0.7697955292529978,0.2790915924383537,0.561500180873419,0.6333321365119259,0.10801629396667713,0.816598215124794,0.5500589950414451,0.03363555856972271,0.29508457709734853,0.5463401407709594,0.7485128808347238,0.15254602402462453,0.32985619571744285,0.47515632151622955,0.06979225089353186,0.1802754752722253,0.28746102422337694,0.0,0.052980890063699784,0.15049834418894364,0.5553037107158167,0.5150982734819456,0.773485702393522,0.5147245553152969,0.282857266666254,0.6264308703431906,0.5104578307462498,0.11887537993920973,0.45960417711175033,0.49648659283827085,0.0,0.3675844514575576,0.778331149835712,0.5437308637542637,0.7464147379190555,0.82142536836599,0.33175982270535287,0.5808639760858825,0.8442158482877531,0.1722413782430249,0.37794464038956493,0.8431615043004104,0.05244714898569386,0.23081940635298792,0.9891463075002607,0.6130255851528114,0.666948759724388,1.0,0.46904623651254496,0.3096528217916523,0.9336329724304281,0.4883199722667591,0.08973207951094815,0.8658408425482941,0.5628999808095878,0.0
1,0.8105769259470152,1.0,1.0,0.5914395643737574,0.9785836809873598,0.6253945121445201,0.4927582035913214,0.8754965515852736,0.34008689363253203,0.6423768129072517,0.7236046730947219,0.1398934111943952,0.8092518077495272,0.5797934991927377,0.0,0.42863034891150503,0.611371858289475,0.5721323270225692,0.23005066772999194,0.39862115461453107,0.30398409453469877,0.11010789345185829,0.25257502772716933,0.11773814697397805,0.0,0.1135428439384648,0.005875896363441328,0.622399606977001,0.5380318688831235,0.5792520290143003,0.5339121924393991,0.29556100929224866,0.40225388361264225,0.49406453450285065,0.1275271720780248,0.2640672558194334,0.45680091850514304,0.0,0.17359966693032944,0.8117173317629269,0.5365869878383985,0.5592901670428108,0.8016289103672634,0.3063784063805158,0.3981562048879157,0.7870713974808532,0.14315985766103367,0.2651982082622303,0.7549512838651803,0.014638966024851926,0.16560166807838503,1.0,0.584785827906497,0.5120314701603684,0.9594394786896869,0.45385064873426173,0.2572153246367508,0.90506731730374,0.5160925792273814,0.12437550648986798,0.8706370698435791,0.6146524101234954,0.07463748214043918
2,0.26718647040571203,1.0,0.9997438603987907,0.02441866845491843,0.9012584313113423,0.72239176139428,0.0,0.7407560365604222,0.46727885982155776,0.2798277334734411,0.6570462705697597,0.23440636274754797,0.6215341898748499,0.6255156380834512,0.07427792626850169,0.247703299120555,0.49269988106606166,0.5819757564102122,0.22950401749663854,0.2854823351140628,0.3027716103905376,0.2145809853221888,0.14634728832209526,0.14267565825662806,0.23222669878656887,0.016528651883625872,0.025207084101537713,0.5071150504014098,0.512802112186567,0.5398736939565875,0.644533004559168,0.2695054531045718,0.30754560955602106,0.7486169293768425,0.12299722935623507,0.15275972025652748,0.8542280224942908,0.0,0.03382671151713504,0.6878259193237534,0.591744742908483,0.48961614156226574,0.8465207998380084,0.38992346843679543,0.22128921297101342,0.9202133471110298,0.2706680259349563,0.09797019386196543,1.0,0.16577974451508723,0.0,0.8327855112760377,0.7052332766183895,0.41861284840779683,0.8661253676493796,0.5806657122781356,0.1843655006082298,0.722604567325785,0.6145511291879725,0.10011761540147579,0.61209342482423,0.6696810612461505,0.06418052505449885
3,0.23881776373031233,1.0,0.9994113875480444,0.042320904232050066,0.8951761523538402,0.7199395366751888,0.0,0.7264518667230059,0.46059735243704114,0.23587460269545607,0.6485033143606258,0.22269659203030556,0.5629577376119272,0.633843437617786,0.05176463527956495,0.27377289596069004,0.4757058518112137,0.5713503102234262,0.25158316477989046,0.2748446639027701,0.29544434546810466,0.24070198406100532,0.14142520689651092,0.12421396513712439,0.2676621946868942,0.014072055354241674,0.01328446234047035,0.5149890151044332,0.4969774376293904,0.5342836613995178,0.6682339580975872,0.25527057781856693,0.30566442617611955,0.7741958265468041,0.11808804995450933,0.14537530968667767,0.8881344564131289,0.0,0.022942659991382706,0.6797083716042467,0.5786068165537037,0.4884250710642168,0.8347778080895967,0.38153438676258905,0.2278665369732675,0.9127963944360414,0.27203748582342113,0.09667596139859518,1.0,0.17234540058070105,0.0,0.8107591442596859,0.6981433800862111,0.4137823580705299,0.8179263648793276,0.5786696264097926,0.21189988384674807,0.6711000392260047,0.6146668844075011,0.13972621425674894,0.5646571275910551,0.6694202920675207,0.10703344111704403
4,0.6295556835905953,1.0,0.9997517868806486,0.27673697076060044,0.9501687487399292,0.6188567956907852,0.1373670799412753,0.776017876005273,0.4661404643801529,0.5061446372737858,0.6348752609768173,0.39944357771910716,0.8673241453460201,0.6166004509478807,0.46968939051258857,0.17702601388081973,0.5570301248635005,0.7402121579512049,0.05379287734109258,0.35946905475093777,0.47229988773599035,0.018508402500379686,0.22339723025320937,0.31051864792898803,0.0,0.0947850845349665,0.23248599392369124,0.4548362289877223,0.5187189579303371,0.7212788250281558,0.3669757989667733,0.3004660105214008,0.43327439344612045,0.31302767244351126,0.13439642661386522,0.27817979217054695,0.2646959984764366,0.0,0.26517519391056216,0.7156374979810374,0.549331163230488,0.6671408013260385,0.7931897680181863,0.33495700998164124,0.3401666164068542,0.8243466396025235,0.19505994339957533,0.13930257073812177,0.8331355754465222,0.06816444917093088,0.10040974568534895,0.9681695783923996,0.6360191380909825,0.5772721538073347,1.0,0.5420136929732333,0.15173777147991557,0.9616679162136557,0.6196061731394131,0.0,0.930687507985449,0.6959904181784282,0.06659220008739053
5,0.6236720649541623,1.0,0.9995995732090005,0.362815392156387,0.970059379620861,0.5730392115259407,0.23310167772369245,0.8384345312266361,0.28731114729571294,0.5368458600457164,0.7389246540065461,0.0855058845781254,0.8187859434223234,0.664055691239263,0.010467359293292903,0.22545558666944912,0.5726036318928708,0.5541757953304082,0.10060130160686813,0.3843722939407533,0.28689982698479477,0.044683164040319724,0.23941763445147785,0.13047728917788073,0.0,0.10990393593513766,0.02178827643149774,0.49093485656602914,0.5302138264466929,0.5515763237118126,0.43152247237361263,0.3050190566382562,0.3276265999662942,0.3930508170228048,0.13746551695492532,0.157284037134616,0.3593992807675695,0.0,0.0788955397965283,0.7351312526388841,0.5543540514047417,0.5276889193884937,0.7895837478706934,0.33262170828556714,0.27663336901948754,0.8089535216667556,0.19852836897107445,0.09015165201028634,0.8048133247271333,0.07686573958696771,0.009038801721179995,0.9780944708400265,0.6285521939224775,0.4587506653265162,1.0,0.5138137533436342,0.1262781240641478,0.9511174309522308,0.5994049411021948,0.0,0.9247858560661577,0.6955355962052867,0.012115429149242891
6,0.6026118533965381,1.0,0.9996891829495832,0.2616273966025662,0.9889789788234503,0.4929976494628081,0.12841866331294585,0.8324723312081347,0.2582359409913546,0.42283620513592246,0.6802290770955317,0.13203736085620388,0.7255220482061535,0.6048515537288894,0.08234816990940787,0.1490309681718997,0.5831100159080023,0.5715544971600639,0.04849951449875131,0.37165567231691615,0.3169687475125756,0.01554813270128595,0.22326864086816248,0.10826125393944941,0.0,0.08338762180864506,0.0,0.4491513581494341,0.5392048140313969,0.6212412795345446,0.42976489915547866,0.3302693199129701,0.36071404076084274,0.39273333619976136,0.14800540698666054,0.17995602176340067,0.35022062538293686,0.0,0.1229806128279644,0.7166500055537043,0.5633484095751079,0.6042848157407771,0.8036313164429061,0.34177607140136657,0.35352342015433674,0.8404711870236803,0.1778943768467659,0.12778261786119238,0.8199695083717614,0.030017691011393857,0.03805320605060892,0.985669203455479,0.6430693989147038,0.5542048626093005,1.0,0.5462343156739591,0.1833318079042003,0.9520312225673879,0.6333004411609042,0.0035517266137377167,0.8888761989731021,0.7229437828993253,0.046080862883648294
7,0.41422906033254775,1.0,0.9997982766529263,0.10907935434702885,0.957661265167404,0.5966560507872443,0.0,0.8010447798366809,0.37466191398738796,0.3738556178693191,0.7325257058049549,0.25107771870791135,0.697657133882054,0.7264509159708027,0.25439170467769073,0.15187985361484918,0.5609790594572789,0.5755931809331785,0.11030394615278306,0.37068246941252125,0.3000708647292347,0.11344704093858288,0.23400388924904023,0.12815841774765427,0.1141601770434741,0.10363855833890422,0.0,0.43406592410069944,0.5408835783788892,0.5878831647762617,0.4679402518175721,0.32172742508291524,0.31852903711323316,0.4999584668952136,0.1528695893377134,0.12613182529407654,0.5201399284760034,0.0,0.027504175014306468,0.677931992352105,0.5888606982217045,0.5776044975642418,0.8424553210799187,0.40375794702144674,0.2869013706901247,0.9156322988990644,0.29587365485402933,0.10010778318621522,0.9411125866346106,0.19317274785556335,0.02431714810275793,0.8877318463151793,0.6897193978162609,0.5310167089586928,1.0,0.6008646008630112,0.20261073990652856,0.9583707705606098,0.6589728738681186,0.08866102474592724,0.8918361876309698,0.721701286076682,0.10346175032109402
8,0.3615863912724764,1.0,0.9998303739557428,0.08122208738611654,0.9450751915518136,0.6543663302758354,0.0,0.8183476693649563,0.45773848988133087,0.2527199590974331,0.8201903106753546,0.35049005377362785,0.5366610815772128,0.8369229350279065,0.3645051408914015,0.21327115814632525,0.54058879433314,0.5899420450991087,0.2390687274004078,0.3414041113770101,0.3148959821419776,0.27737545969187555,0.20559926180896093,0.13426487182509206,0.30744315836808617,0.07166047918338457,0.0,0.47555024424499653,0.5443821710140473,0.602544243211023,0.578388783826238,0.31787364172039945,0.3780542965187773,0.6601738975095018,0.16014003695787388,0.204380752654639,0.7437897706622643,0.0,0.10654284628571886,0.6691191780062463,0.6291956698927158,0.597036360503148,0.8201365061569451,0.46927329172254767,0.35790758343627166,0.9238242052027572,0.3399361751321263,0.2020228183008572,1.0,0.20560456671667288,0.10650500854623002,0.8030966446343101,0.7685547551039252,0.5725920219039371,0.7480423440127636,0.7993992743516536,0.31345635176280406,0.6098822203194589,0.8791995829187014,0.24026332980683285,0.5003166252918312,0.9396040984141267,0.2619270291371454
9,0.40389887007268593,1.0,0.9999946251938533,0.11059948979062147,0.9387762192239221,0.628268821219988,0.0,0.7889490980476166,0.38713324958800777,0.30400688363231204,0.749594407673613,0.22327900088351796,0.6155095179422524,0.7511538720793659,0.17432097986175168,0.17206506062421953,0.548140542704232,0.5486190309738159,0.15476835638743852,0.3706327840485178,0.25970080571801735,0.1521653998640383,0.24787594969085416,0.1051741030889975,0.1584643220955212,0.12953267315121922,0.0,0.47398434654703364,0.5357512207013215,0.5552664955099659,0.5321065218844774,0.3136651834191456,0.3548839671375309,0.5682966705993403,0.1515568327879267,0.18899928480153044,0.6152686572556583,0.0,0.0668936110796309,0.7239445837698933,0.5977796647965251,0.5403695027386188,0.8537855202030207,0.42986005564255797,0.33151449452427667,0.9308854412588542,0.3084923230629446,0.19491995499366171,1.0,0.18312759006596588,0.08836303391430657,0.9276105664752655,0.7094254162573039,0.4983181997209658,0.8993891689932563,0.6741556200276274,0.2858214095068318,0.7673472642171135,0.7566603015372342,0.22703112300823922,0.6755490274003948,0.825311131097043,0.21418488653496623
