number,0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z
0,0.7572420906098286,1.0,0.8630132702073678,0.33995869169966303,0.9305466966190158,0.5510464749621203,0.0,0.6009458135339983,0.3425678570123633,0.023988757609199888,0.26512694036588325,0.1900314732507394,0.32385503304550606,0.16111260514013612,0.2967199346587111,0.2925785324627059,0.29335290959909854,0.867009396184522,0.15956058796463804,0.03992452703630118,0.4776456747666036,0.22331321604740134,0.3316992865304071,0.6900708472692628,0.3162107668500701,0.44489548249098043,1.0,0.5209670059119339,0.28760507285306475,0.7970402864310808,0.40000695655067,0.0,0.035440591060805396,0.43542260478209927,0.39259646165621087,0.17871310738231153,0.5217087859344595,0.47763231524743915,0.5925525360298378,0.7569339607839579,0.32065886058928783,0.6429163225156971,0.6392162689523473,0.06812958676399317,0.0,0.6132093555020456,0.4648191358825954,0.27369400282422457,0.7080082374633694,0.5606064087841454,0.6875001858462377,1.0,0.39167230291704164,0.4521153261738908,0.8841722971248651,0.1984019134060777,0.17319903319052074,0.8167947012256006,0.4687737237489957,0.2761512200774684,0.8813133060288719,0.5786157037839373,0.46278928970416483
1,0.7488327498293069,1.0,0.6379800154211583,0.34194982349608494,0.9488261305788863,0.446432018626699,0.008256357150120679,0.627203317917782,0.3146435723337081,0.0,0.25718446267174294,0.13518432193939442,0.2565350029780496,0.10270390283408981,0.13435220852685598,0.27234688985782146,0.265823857352747,1.0,0.09020771636516076,0.05519700872706905,0.425501711414446,0.13552595261269376,0.3103565508523967,0.36810870211273006,0.23430090545159477,0.38523992501633647,0.599204775828939,0.4870902068862468,0.21547732282418283,0.8870551695765078,0.30871645024789407,0.0,0.14362568029338568,0.36608592970142717,0.37564031725927816,0.19392833740125673,0.46907954401598806,0.4209128815306894,0.6094435116741304,0.7295764943686847,0.22111728686297316,0.6634010144934118,0.5486555195607014,0.017972615320181757,0.0,0.5873000193002518,0.41781253074910496,0.15165821405835253,0.7170134831973669,0.46300625116163285,0.5465016195898864,1.0,0.2647051155577646,0.3998194987959225,0.7751595383711832,0.11120537332462056,0.10928777425044003,0.7790880734820768,0.4014193156100749,0.21561691266544986,0.9146148562131245,0.4668056841586498,0.46349270763066447
2,0.8266524687603296,1.0,0.9987524242943472,0.3396467981507504,0.9141609119858808,0.5177773233385286,0.0,0.5604351950084964,0.3046899830967822,0.10291092297962837,0.1510138777289242,0.21194813078712305,0.4563489847390116,0.12055743433829501,0.2998198002976084,0.1859460348749281,0.4052665571572041,0.47903621715699896,0.1294569074424298,0.05152850642277717,0.09391266796477583,0.205361873036908,0.34865697183313094,0.20948218175494926,0.1916468313563428,0.5218870562475091,0.4483568546307741,0.46860826306074055,0.3406206174943726,0.5792940516687076,0.4559463669308524,0.00390529647992429,0.0,0.5176982034265153,0.3447518898533291,0.12987459103240045,0.49842235702351106,0.5094448693930205,0.37723275626695507,0.7453810266263571,0.3298663321036756,0.6127512942461855,0.7464805845391743,0.0,0.03960112753179528,0.7462613521619105,0.370192462379896,0.21636767570663146,0.7209296358403052,0.5232979308031185,0.5179786603806185,0.9787001218041504,0.37474651448025975,0.5999881005427616,1.0,0.14282898205534875,0.2619307861914839,0.9555150715655985,0.3909261514688325,0.3431146391270567,0.916905646309123,0.5164650294015318,0.5097226772159662
3,0.5748192779357709,1.0,0.9995521078036734,0.23801162075490762,0.9069557560583015,0.621714759716136,0.0,0.6243437238961891,0.32483856233671704,0.05148114104316042,0.5832934311982094,0.09988197934156813,0.33075890023671184,0.5628238792403297,0.015598097610088176,0.27329325680338007,0.13398226625451826,0.4067465829422093,0.21069853038553712,0.0,0.06992431108402222,0.2415598455143945,0.37826369631098766,0.09904223532290006,0.2851484672591165,0.5878735870074394,0.18118483923579823,0.559808727436106,0.17839201768377544,0.431878239894454,0.5343477377982564,0.13799328259678156,0.0,0.4976500490983271,0.6289225817818911,0.039607000493553556,0.5075869422974486,0.7551724686191835,0.1606958141850261,0.7988194819807668,0.3185705708602972,0.41655581889404947,0.8034232471995315,0.3031362050684563,0.04780561331905526,0.6833810255811603,0.76167528181435,0.10351763006811247,0.6778394381699518,0.8681032805341647,0.2026113296534216,0.9894181087971842,0.5007369501630895,0.37124852213818127,1.0,0.5016927626810644,0.13586990528753204,0.9018886914927952,0.7965357772079653,0.10312153749874485,0.8846483608221836,0.8952930478781276,0.10742709149937961
4,0.6042274223494123,1.0,0.9994924858484202,0.28003409004039487,0.8803559695337055,0.6361654439159214,0.0,0.6130041928593248,0.3630072216279892,0.030199279900878513,0.3386079155433584,0.12458399235012144,0.3083457020739369,0.2541759905630981,0.0,0.23846036238076243,0.21097001955674907,0.7112843503992293,0.1815915295634976,0.0,0.35369088812425575,0.22861973937467786,0.21952509771049875,0.33193283485394237,0.2719252168660929,0.2927789870147213,0.41400995531528634,0.5064547039184625,0.2071059441286785,0.7139468553047909,0.4650399218290548,0.06545081757485517,0.2020422949844555,0.4441382009026595,0.39927769757604653,0.2254747102781555,0.45641750308619317,0.4012137005230076,0.4235908031081995,0.7497413350065508,0.25606489535452914,0.6429717635844984,0.7549392335947357,0.1365017115817779,0.22897523539049014,0.6711011219286607,0.4499689709509018,0.3413334608412554,0.6733021396344403,0.46309679977285384,0.5437472022168476,0.9840660850267975,0.34102067166243427,0.5306970473685714,1.0,0.23448697893507459,0.33657585879681207,0.8962849878936457,0.44715559413188705,0.3587526890607676,0.883150407165569,0.47973192117583957,0.4558866849429679
5,0.8659574589491984,1.0,0.9984815226690271,0.38845384982624853,0.8752658061078529,0.4750659346956924,0.0,0.5406159838703315,0.2305167495871588,0.05098864925284656,0.21126958453998723,0.0697136712934418,0.40233114154799515,0.17227261993090529,0.16777966817442283,0.11564980380446258,0.3369056953703939,0.7315538061257792,0.08062752139320704,0.040126387257950945,0.35410635269463486,0.21998182916754636,0.28515625211091256,0.5672057345403512,0.2662141076922979,0.3937378107465916,0.8455715996535507,0.42910997791730304,0.29128674744110117,0.8031905981127374,0.3955757256445225,0.0,0.0,0.47757525267030715,0.32146340751676705,0.0315698046121975,0.4845722277909758,0.4372813770093861,0.3302061178130775,0.7228859288902921,0.2788033848094275,0.8064082803572931,0.7162934545060304,0.04030958069238472,0.09684962418544385,0.7321875437865707,0.3595479175121575,0.2712106703452178,0.7464420736559069,0.47690519820827093,0.6223988107165168,1.0,0.2885658656051895,0.7623399694113411,0.9708043034313455,0.07723521658705768,0.4314975700996875,0.9338127744883034,0.27329055937763946,0.4841483399576246,0.938879811926178,0.3676511197225835,0.6463124835137858
6,0.7467202173084526,1.0,0.9987659576614046,0.325377737142443,0.8218238504095836,0.5311197137597343,0.0,0.5139969859556405,0.29890809473084706,0.1220127690715926,0.2070949451655063,0.08371841521320814,0.4633282280341104,0.17554021340903717,0.08120348848430706,0.05561670267552621,0.34417797080098916,0.723357140734491,0.020510491098726394,0.0,0.4065763082199104,0.0729145435027788,0.2110431243387039,0.4982923374848466,0.07617442911560558,0.32726061820246743,0.6855208968077372,0.3668646021587198,0.33182584979026636,0.7722067049803147,0.42317754082459963,0.059080126344753375,0.10321101212550676,0.46343175754940463,0.3009966327610793,0.0,0.45955781249898897,0.4042160131392907,0.1689767903113589,0.6668006079770785,0.3295415982538323,0.7554275115031321,0.7420232126114479,0.09964956103590819,0.1516511540201911,0.7215864862923687,0.341917877923528,0.18236830794050815,0.7130582424700072,0.4567545534353676,0.4089198559730352,0.9499861852803029,0.3413644936414284,0.6928294105194339,1.0,0.13306299961711043,0.4044327536655463,0.9569698981463687,0.3043997321911992,0.3918216016550908,0.9347123464770524,0.4086491270608311,0.5133375978941893
7,1.0,1.0,0.6713374627001658,0.47792835075614437,0.9009709311228782,0.41651437430176913,0.04336852571810126,0.6174653609214472,0.23661500415065212,0.0,0.2688324860547537,0.030118471420671384,0.30675921199379697,0.18978925733623306,0.010467662833189138,0.14480267184714055,0.37259020031849344,0.7836286045634197,0.0042809068409834835,0.07646561568871972,0.49255167815949025,0.18346389353255255,0.3170698879504694,0.7015246544431301,0.2687796209964025,0.4264072114932315,1.0,0.41277485986350454,0.29689534146711616,0.7382487524390682,0.3179949291999216,0.006801393460240854,0.07934616178437544,0.46981107882723233,0.31830925176019464,0.13811532109998514,0.510864358517178,0.4292713175313532,0.4497722535200198,0.6740976709641052,0.25855444637560937,0.6138374602324075,0.5911304545575509,0.005527419756892965,0.0,0.6968309918784943,0.3282628923570505,0.15421333365771644,0.7484002545077139,0.450440211752119,0.4806099493807161,0.9548424205328695,0.2362491939809,0.45524369056073677,0.8231830641083642,0.0,0.21624474585709452,0.8563991029328869,0.23066821129340057,0.25779153969796026,0.912017626836532,0.35613347058262046,0.39582241105858074
8,0.5256823711124547,1.0,0.9990680831237074,0.18574077205007924,0.8139812294392683,0.5273692684570573,0.0,0.4814441478190213,0.23660107671325104,0.16288015772265,0.17314313483653793,0.0018404390379197129,0.48015600328970937,0.1005986556138304,0.0,0.25951450996799125,0.23394819771233813,0.7937379815322914,0.29657474775551845,0.0,0.4064701982416726,0.309973149323575,0.285461272541117,0.6125525133048301,0.3345892305003052,0.38614365203081397,0.9162897778758986,0.5189149690371869,0.26228633758244185,0.8605171517500843,0.5863637535927466,0.04796389680288087,0.1616830494200571,0.5034676631314708,0.39876987698670197,0.32313383371585297,0.5037307252548235,0.44658272196354015,0.7287954403118626,0.7499201930268478,0.3222290113130558,0.818327983278595,0.8139176483736285,0.1353600779509153,0.18584367433070006,0.6801840861743375,0.4631361947252563,0.3885824998816993,0.6852321279662547,0.5343045457978073,0.7534419822180145,0.9773806692323342,0.4020552417442195,0.7356299584204591,1.0,0.21576506628588693,0.4609568093802609,0.8817641782747366,0.4246765027380864,0.5096829338979435,0.880492997905246,0.5136553143182014,0.6729501392411948
9,0.6176481513008218,1.0,0.9993472783445969,0.25710667100015994,0.7964676947695677,0.6917524776823573,0.0,0.4688223192755392,0.4198020523642693,0.01475657633396788,0.14651910531346665,0.14211919892061597,0.33587255402679544,0.06982210521115845,0.0,0.31852000887334336,0.19243152841697905,0.8474398173315715,0.13561873513586017,0.0,0.5074786282229403,0.20596319626081439,0.28856971790741676,0.7068232589729877,0.3168072472515851,0.3886764666581905,0.9620683452759793,0.5534763386109091,0.20325483811145006,0.824789811318144,0.38206759217701286,0.034482856358481445,0.2531778046454408,0.4124556977697986,0.37928159130007805,0.4016460788015466,0.5149335273087459,0.42088242574624923,0.6985949963950883,0.7740454707257054,0.2352402204566185,0.7144542844290385,0.6092932794742029,0.08647283177482047,0.2251040784176097,0.586720938510826,0.42150410326055415,0.45674860651659865,0.6759986380449755,0.4909893202659581,0.7441431278194711,1.0,0.29630066786467135,0.5711397202571721,0.8642301084920991,0.14672169713912267,0.36880724417792954,0.7899793127286047,0.355526721200445,0.42167180550905425,0.8406326900159411,0.4463113440894611,0.5082397583224124
