number,0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z
0,1.0,0.93252582514758,0.9842779462774156,0.9055320547123967,0.6178471808845556,1.0,0.7061276673830608,0.43632304052297133,0.7727606844433313,0.5169532723389578,0.45185197521817333,0.5530552317594384,0.38084744264604015,0.4721467697881768,0.3713913123743737,0.7776098345504346,0.03023401118749476,0.41920842905665034,0.4544917621084852,0.01850470944962941,0.2576038439854838,0.2657597892513986,0.012537848588454489,0.1974090008088203,0.1135716008189374,0.0,0.12417174168081609,0.7883936952196307,0.28324255760829153,0.32459268387550205,0.4193708381810828,0.19589397882413112,0.0873779044666903,0.18781230154650813,0.19907229322153003,0.05332241249221991,0.0,0.19577874075140597,0.0,0.7838810849863719,0.6071633490279171,0.28227548027966254,0.4381094113431092,0.645770520972792,0.3250459860907661,0.5346703354242305,0.7230402006270671,0.6676247522017277,0.6542444188032792,0.725483838733316,0.8612255722500418,0.7600974097405898,0.9379226739101003,0.21672328929342352,0.4900810482859863,0.9445879473332459,0.35187374918136494,0.5599765482614874,0.980859197878545,0.6192698053211285,0.65658382819608,1.0,0.7843249083998332
1,1.0,0.913385107500648,0.9510336450005893,0.9404365909247444,0.5943438863519669,1.0,0.716084018433526,0.4104310094641392,0.7559314937683758,0.4964656421992499,0.4422406405344712,0.5252663324467157,0.3437685884953259,0.4984967540913848,0.3316944892196335,0.7519470959682923,0.06201715144581777,0.3032354922073945,0.4266811043835977,0.04383149795641475,0.17652249036270742,0.25365528085455424,0.029195637010419984,0.15187494386551256,0.11514731480379942,0.0,0.09015024611762025,0.7351924046234088,0.323245252553969,0.19994653011503652,0.3767516232648129,0.2194447443798558,0.0,0.16742980592828205,0.20170512142372582,0.028520720907219504,0.0,0.1850370651828748,0.008236304535551745,0.7162098331966263,0.6409925751178747,0.16022693610596267,0.3858562682754259,0.6332084538959788,0.2707593132295731,0.49495332135321113,0.6977402790173842,0.6941515611621502,0.6145352641366485,0.7032234020694177,0.9231136179530728,0.6926124232197309,0.9596335533416526,0.09908228241740275,0.44920155564182357,0.9242306201100087,0.31324555595621456,0.5226871607110433,0.9690382369811705,0.6215143775895835,0.611076434327433,1.0,0.8074454136132865
2,1.0,0.9324692729352984,0.8385232879036892,0.9091980054301607,0.6717043158069854,1.0,0.71069627450343,0.5218181506438283,0.822522043897806,0.5235028499006855,0.5405127363874342,0.6210600163498918,0.37903713699175734,0.5809272314338926,0.45047677676719866,0.725733505953386,0.058577326361905345,0.4254646868230952,0.4100243664606602,0.050491531086665084,0.3521264240697361,0.22955417212279686,0.022542332981610798,0.3084297940255019,0.09799573732676777,0.0,0.22984090119341374,0.7087517793661993,0.2697802220717709,0.26080564241067267,0.3815499622117802,0.15760089084506554,0.11595703712293602,0.16857547649764412,0.12717712311354615,0.08193984963679361,0.0,0.10310162278939605,0.0,0.6926719507268094,0.5548578257801035,0.17916042597070184,0.4419945145080778,0.6254490949979865,0.36936917343466585,0.5452096601490839,0.731670227915277,0.6803609526292125,0.6450614615588232,0.7416044201188998,0.7888796157102467,0.6682013489144569,0.8444651894320121,0.07986079372516414,0.4823006973998997,0.9107859724340358,0.3551598847476581,0.5608982184254945,0.9756000020389712,0.6284475281718761,0.6401035917927682,1.0,0.7644907745849253
3,1.0,0.6489840898499271,0.9997394038659142,0.9089402710867407,0.2461173949469374,0.8899221332895866,0.7042773689800027,0.07346046759881938,0.704551694786197,0.5204863853774627,0.21840607727104347,0.573558279511102,0.40768505835146307,0.39066355801568575,0.47352497878446814,0.6902719199549712,0.0,0.3404613075309524,0.40530735900691844,0.030406669437189893,0.20212289301666653,0.23412006401437913,0.07630153737484516,0.14092529094575637,0.09408214002351428,0.1149298230007422,0.06453000213680711,0.6877016991100684,0.34859838521868325,0.35382015758276225,0.37478348683100005,0.28981733134882437,0.1328171238450501,0.17046877024833118,0.3209606236067167,0.06620768192534812,0.0,0.3732964933407863,0.0,0.6875013355934024,0.689081173232497,0.4229204234035796,0.4140347389559414,0.6071782220941704,0.4488729742084174,0.506990275311627,0.5346155633478366,0.7089644184818152,0.6055832411406291,0.49031144487212,0.8402637771062977,0.6776558801692856,1.0,0.4744554051123975,0.46708892003476365,0.8176316806232881,0.5548009249978189,0.5295703810180858,0.7680303305906924,0.7407632313933133,0.6008347042158092,0.7619425705056116,0.8550330488010386
4,1.0,0.9529040908440344,0.8695793631545841,0.9345036485057615,0.34575104905189,0.7778651065065694,0.7767860947647968,0.05264170654709752,0.7114413688570599,0.6264631651115481,0.0,0.732802323093065,0.50292974141487,0.032665620169650834,0.7701702921614948,0.658616533973056,0.2379360765852173,0.24319141196946265,0.389128395369092,0.0890202393796447,0.15818366532615533,0.22433130670056728,0.019151619484687778,0.07901212211386256,0.09193739109114264,0.02918195290270428,0.0,0.6072740043465931,0.5594376462537096,0.35501949672709227,0.32926229461739126,0.3485713220480303,0.30122806606917396,0.14322324245428636,0.23233204346850134,0.2938110697863673,0.0,0.17849727486076192,0.2528395433961554,0.5833486399630877,0.8229291922905143,0.5174991311236539,0.4715108808620806,0.45987704866889,0.7633579385962499,0.5679365606496253,0.3800357148304362,0.909200604397542,0.6486459877772276,0.41372153863717004,0.9077073738881564,0.5690335999240931,1.0,0.6521358744805545,0.5267910803527739,0.6615467501152774,0.88924800884464,0.6004459529725755,0.5901586861897058,0.9946694377961177,0.6650111015924283,0.6045342828940568,1.0
5,1.0,0.8423076555647315,0.999991756557223,0.9109275288439762,0.450284389734367,0.962541885729677,0.7350861590737101,0.2480468341100196,0.803439653893981,0.5928623340795692,0.3389062189712537,0.6634639842332275,0.498312959805058,0.529321828606784,0.5743010726205342,0.7252423162298807,0.0023595313092944414,0.4525523799242998,0.4235806854059463,0.0,0.28148855771865994,0.23190627887652704,0.025182663720496205,0.20065665190846174,0.0820864723507377,0.030646873582904136,0.13816237029801653,0.7429120875218682,0.2747079016706461,0.38895351244054316,0.4046997867033235,0.20902721698073898,0.13043671465485032,0.1778614936764598,0.24597603211328514,0.05715591277549799,0.0,0.2556991263727854,0.0,0.7537893500014599,0.6269535978152104,0.38020910571985683,0.4690773478613911,0.7592044282803908,0.32186439674330836,0.5099351429750586,0.8247592956915407,0.5638005635332075,0.5874910139996165,0.8076142015389547,0.7122482271027298,0.7440012183872309,0.982811408436018,0.3616193221566438,0.5475460623760603,1.0,0.3712537277611634,0.5559583002235551,0.9894301290308025,0.5301604502815832,0.593417394687232,0.9663771107677842,0.6368764990302974
6,1.0,0.8698452357679212,0.7124354591205337,0.9084841736962114,0.5901012212084943,1.0,0.728908206876411,0.48839514385731986,0.8931996465274609,0.5440070791539835,0.5843077591675023,0.7144479822813424,0.4284871362140426,0.6904975549107827,0.5828997225031282,0.7026123510316863,0.15263066846502968,0.5310413334182529,0.4204381437509126,0.10179415541400558,0.4100190468408959,0.2530959013355199,0.04813351860785326,0.3212405145151646,0.12231302440777723,0.0,0.23395263333807942,0.6715704995001629,0.27376209007660857,0.3028406126426186,0.3577015635354772,0.2193055862236768,0.167157273808998,0.15786780150288107,0.16802973768559684,0.11156735610361862,0.0,0.1348434706905742,0.043682182497903274,0.6509139578114996,0.4788415748146669,0.15638844050718814,0.42740602781116266,0.7002965470586497,0.3043382332989056,0.5178253013063159,0.794952160074935,0.5016905073036323,0.6080132597243595,0.7882870592404964,0.5978112954187699,0.640260125914028,0.733738433820851,0.0,0.48980353311842206,0.9364769056154776,0.2419958468563373,0.565837746689281,1.0,0.4348202305886709,0.6437123016095879,0.9859971702505004,0.5296482955466513
7,1.0,1.0,0.6630473427218178,0.9285375203259345,0.6871673718223441,1.0,0.7538110324161253,0.5045712472140111,0.9440279316967154,0.56576864800089,0.5160124542163272,0.8243738545694382,0.425490052820812,0.5765856367215539,0.7462549116673,0.7316635196423149,0.18923099460632223,0.4874770115834605,0.45855969207012276,0.09383314372095379,0.45973892253502663,0.2915009782515713,0.03750607336609185,0.41139522375631515,0.15003577805052395,0.0,0.33428676064725454,0.6817148645408863,0.33509785687133264,0.2706638775777063,0.3732970547450066,0.23569367348390108,0.18381814988880527,0.16916133973287437,0.15836763609157808,0.15485668543594305,0.0,0.10623278715531462,0.09284277704740407,0.6477967586444653,0.5556248707091423,0.1347834568872396,0.38162274845185123,0.6468516471719218,0.3236156942077829,0.4587913590776202,0.732890588000751,0.5489031239826071,0.5587231806888844,0.7451797213269331,0.6622188420803571,0.6261830712730341,0.8076111108363517,0.0,0.4495536830464909,0.9132079532487669,0.27532151462007226,0.5159789656637186,0.9619514379701476,0.4815833699473417,0.5998068095414498,0.956848872481397,0.5757009768687918
8,0.3593030225935631,0.8462314383546556,0.9777089211597014,0.11870258881271305,0.5087279811831971,1.0,0.04748989132955315,0.3271845652285649,0.9146077924426427,0.02920291105137851,0.17789533520489706,0.7911755924062176,0.0,0.0,0.49964416995115396,0.40824413968419077,0.551692361915065,0.9707746835344515,0.6611687307175096,0.542862501254372,0.9526481619401981,0.7613258316649782,0.48392017544074345,0.5929747782507117,0.7882431261296909,0.4558721128029155,0.2208394003288037,0.573374179238411,0.7373987630056955,0.8332358922069625,0.8801236331731269,0.7653134338952103,0.7892420572803016,0.963460336489856,0.7073984692990937,0.362226427216472,1.0,0.6866970489829185,0.0,0.6550075479096462,0.8866528094260239,0.7922916173994267,0.92899769185998,0.8877419714076623,0.7248246952002413,0.9925004645458124,0.8292083872815251,0.46414340536603876,0.9857649341880635,0.8168161102966192,0.28605542161717773,0.6746630827106542,0.9972513957182473,0.7468634030684044,0.8870229703187219,1.0,0.6213671859965079,0.9187252146252843,0.9417769494163805,0.5478043440271249,0.9053621640105225,0.9352979653475161,0.5654273946090478
9,1.0,0.5795547363054274,0.8734516672742576,0.8132396439866894,0.23519835500002612,1.0,0.5765110083763144,0.21444742601136121,0.8196102433346198,0.4233536645377865,0.46652527102282565,0.6574495452700208,0.3541563037817104,0.7346919261051741,0.5483490312401628,0.47111913837543656,0.0,0.25591620539543797,0.22036835567283164,0.33945962972233396,0.147713326614683,0.09944246570605494,0.553035620372383,0.11088753246167073,0.01682345102023988,0.7254452295442703,0.05028112295067354,0.5220785974394918,0.26250373142273775,0.13176364347800232,0.23797750178884453,0.6131811328016867,0.08584769637781818,0.09450319332022844,0.8031817635778589,0.1229226137243824,0.0,0.9440987674955011,0.08283106429618439,0.5915778672717261,0.5650834452592751,0.07748372527326501,0.36087544322114373,0.8321106855492393,0.2677752054036203,0.4104048241612381,0.7916707010896357,0.5878963903440396,0.4750253364224705,0.7223078211825888,0.6890740563995562,0.6594585320568919,0.85549038427929,0.0,0.46190525906990726,1.0,0.29207090582472806,0.4954663763728883,0.938384015730031,0.5277607110393008,0.5423839778050279,0.8594711042239103,0.62581031423827
