number,0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z
0,0.4789778742357411,1.0,0.9986378652932946,0.09752113715229636,0.7940112398300573,0.7565682374072286,0.0,0.4921708460691169,0.6752981943625503,0.026029271787565714,0.21111622943080932,0.6493241104282644,0.0034491527268888074,0.0,0.7578634166377647,0.16420612590229072,0.3788228752473439,0.5959090346925507,0.26511643766116555,0.13723371035872717,0.3864407939948495,0.20531085714896058,0.34930857842158086,0.6481159396171781,0.14865946847061134,0.4572694860545718,0.9416457781533035,0.43218467016758133,0.43722302982965777,0.5810385563977569,0.5182922996720511,0.2360286857812807,0.05939310823726351,0.41876682519787645,0.5095194495695584,0.1901032414182013,0.353705353786694,0.5871176513271984,0.4341602883815678,0.6841412509381851,0.5292872336695934,0.527469357945565,0.7736438063758385,0.347246013349846,0.0,0.6556339790019066,0.6215772777043548,0.24956223475291386,0.5956501073649434,0.7011294455663982,0.5356940268842968,0.8946989611871724,0.6281613754564703,0.4470602273754471,1.0,0.4964247948074692,0.18328992052562842,0.9025700624552988,0.6617959105803277,0.34436332567699585,0.8473285704132862,0.7345086263616656,0.5442915782430918
1,0.5807119051201171,1.0,0.9415835726883155,0.16045328552959387,0.8034781411893405,0.7336532316249066,0.0,0.5073870555278929,0.6015093143185374,0.009971975652732692,0.22565065847939292,0.43912108789215454,0.0029192240902287084,0.0,0.44814674325194204,0.23561106591969075,0.3669924622608788,1.0,0.2853235549866253,0.14553484172488024,0.5223585665950966,0.26508584528214324,0.3503585359882649,0.5254238734853519,0.2546048924033364,0.4394866949551054,0.7436690486962634,0.4985233030479984,0.41659900406450207,0.9096042582154673,0.5429149911132984,0.2212881509303822,0.09912902889960044,0.46051474019466593,0.5040346421976549,0.1590950788802149,0.4488342738532075,0.5426513668109301,0.5311638473587565,0.7420102560441045,0.49373476602713806,0.7178008572700418,0.7689850290315918,0.3095606564742333,0.0,0.6503657955064145,0.5773024631032831,0.2593712524862661,0.6480243982670294,0.6267080934491396,0.7020665976587429,0.973084896687313,0.5817219219316608,0.4793731048800131,1.0,0.41841294186184014,0.18848764200377552,0.8787502008114055,0.5900455096091441,0.38827408892556764,0.8561420240259691,0.6508617638206715,0.7337279481482987
2,0.6390020080997094,1.0,0.631306282480703,0.209827909220431,0.7991364221109717,0.5766480860923984,0.03063866545507578,0.5008145680533903,0.5440402601768172,0.020873579465778166,0.2246644002067285,0.43572308048039765,0.0,0.0,0.4819636445095641,0.2758203479958267,0.3573131279552209,1.0,0.2417118208640438,0.152715609873157,0.6249353082646324,0.2290248937053366,0.35073266230299194,0.6109994429771428,0.24897631788554953,0.41625042155406605,0.790826890299837,0.5161500577749357,0.38898000216990114,0.8678788951514286,0.46636769539707645,0.1945538688642171,0.14975521506131273,0.4130896689440088,0.47554558850016543,0.19171108268181714,0.44754708937726473,0.48042925561167965,0.5813206604860455,0.7534205005665309,0.4425057975375363,0.6233405793136307,0.6907257205039321,0.26814066731407393,0.0,0.6151673229450634,0.5412110720540786,0.2024686109356334,0.6698369961520771,0.5573760871552008,0.5982392568195798,1.0,0.5052488625389019,0.35504879249358706,0.9293451799997756,0.35228515707465263,0.11562833496322647,0.8451665376546742,0.5392833874828773,0.2339899192587987,0.88716891596271,0.5770097372976607,0.5126569557000129
3,0.4890874849536772,1.0,0.9989808402219015,0.1311822463632782,0.8226975785981373,0.9152524811650705,0.0,0.49381841095514,0.8755218361355547,0.06022553519122536,0.23518865225371877,0.787549123845067,0.07530716186891294,0.0,0.7797264686649389,0.3053923370087127,0.33710803884414203,0.9496726177368596,0.26062436064424166,0.13278030609696073,0.480953479710743,0.21595494597782725,0.354880703037178,0.3236572044423211,0.22859108582940632,0.5329385930444738,0.35116931027472653,0.5654103865715109,0.38950547827133103,0.8049409356971501,0.46904114408684033,0.21005767708779352,0.14388403740720565,0.3952950645651417,0.48414585921021613,0.07521732733730409,0.4322634127650653,0.6591651505443384,0.24402216181938702,0.7952466271536274,0.4688375943908659,0.5959553770065619,0.675541637497786,0.3388297375893017,0.0,0.5816896945189816,0.6155842689173313,0.11247150465930535,0.6059291247407935,0.7883608920823617,0.38254733585518896,1.0,0.5618057300162729,0.39082159610928296,0.8862607643712715,0.44802687101663846,0.05027004152349184,0.7751381128929064,0.6201408181971365,0.14977419147911522,0.7818875408615352,0.738903683956965,0.3560327065714732
4,0.6815512617283959,1.0,0.9996769554619646,0.32758585849479227,0.8744587764891137,0.7563228933786902,0.07720805966687797,0.5305507988515366,0.5575919420078529,0.0,0.22245495845998087,0.3744421443767359,0.09875837009766966,0.0,0.3271113170606958,0.37374057989982773,0.08592479406475097,0.5751746647890353,0.14312458983062862,0.10622770134920895,0.294001255601136,0.20869448704385513,0.38991319841709554,0.4601250048191032,0.3126747348724251,0.4704435688197516,0.6070248600494798,0.6197162956968706,0.08916522009779393,0.5125461431744899,0.36337734276465117,0.1798848090664129,0.07546184570690871,0.3899418620375986,0.4956003165361844,0.2720217126837709,0.49379682459346796,0.4779784860074671,0.515617448590727,0.820661437845914,0.15761793948429412,0.38832421404294615,0.5829763117570125,0.27510168357054454,0.0,0.5598454794244587,0.566785195442095,0.24293063694369255,0.6542437355032038,0.5577295299445112,0.44918808669184057,1.0,0.25988758811776735,0.22775069183923655,0.7893656119594896,0.3677782033898652,0.02874016976122086,0.7280905436354926,0.5793476437714372,0.08931150925614874,0.806444823650875,0.599400119786054,0.1530313852615642
5,0.774808073206047,1.0,0.9994513926670837,0.3721825015961068,0.8119643153990821,0.6696846609193867,0.0926960386186729,0.5327910471222467,0.4683965936983619,0.0,0.2224169969808204,0.25930987481973894,0.15052449548227792,0.0,0.2459158494181321,0.3049169313391576,0.31604991242371333,0.8924125334412444,0.20328192607517634,0.13389738624172284,0.4986938463977141,0.2946845512624138,0.3584647640884948,0.5844068757640118,0.35148865543812124,0.44118134920843083,0.8006578835076313,0.5428050658756793,0.3047747029252813,0.8555240749022642,0.4777288813261466,0.10752645965150734,0.08873884344671777,0.5254733258944444,0.41638069989760007,0.12982523871459178,0.5463428302807111,0.45086168083883665,0.4404733411868386,0.7667842974612581,0.31708639310691505,0.7354724376331747,0.7267469057053562,0.13119584365819437,0.0,0.7145376979085908,0.4451076755102768,0.23285798731106028,0.7363323868801369,0.5000820321099183,0.6108612890897942,1.0,0.33999695748602243,0.5562546158350822,0.9622999773604602,0.1587792536724066,0.24678212814480494,0.9122246980081433,0.3726766688559985,0.3876698717244649,0.9212562984237268,0.4462512411087413,0.6313719572610315
6,0.6553609989993063,1.0,0.9992169186009052,0.32103410784991143,0.904250949500633,0.6758019901025795,0.06245066561845102,0.5998341471910188,0.4707854565866446,0.0,0.264587210042267,0.29700616756640125,0.1067608542471636,0.0,0.2580701572873508,0.26532867345000655,0.32114864457528686,0.6084156605771506,0.16763646351111855,0.15257547441539565,0.27297908000864907,0.21756820955081743,0.4328691330238665,0.413323434097705,0.271867115893266,0.5636876126171386,0.611813261799274,0.5182454655639754,0.32760859808827175,0.5953854485093403,0.4521067631316566,0.14234377616569205,0.017056498701845595,0.46588463463748425,0.5182707366249355,0.11397796801795884,0.510193912302429,0.5823386853686474,0.34331260461073404,0.7643833207999902,0.3730533394958771,0.5307910074644729,0.7103891318378649,0.21509662466759105,0.0,0.6638598354708339,0.5888401690680493,0.20529835996688306,0.7060574991220586,0.6622229367200531,0.45278741873630574,1.0,0.43673867465117994,0.4448632655316239,0.9805450022933513,0.31484355846713424,0.1772700571832307,0.8926479302675455,0.565326581328832,0.2875216879024897,0.9007418433442937,0.6554824534962388,0.4196176054377502
7,0.5852030269564363,1.0,0.9994910672609932,0.2763878408699085,0.8494794942451999,0.6731775834223563,0.06737526630786939,0.4928324441794393,0.4750267879832113,0.0,0.21569942040765608,0.33891494451686904,0.09145266257897622,0.0,0.3852858531978988,0.4517677512205604,0.10015603804801253,0.5010724316048635,0.178472829517989,0.18349510768909358,0.1418312083881586,0.21400175567471044,0.46736617141638187,0.3026238285990749,0.31250043725295207,0.5491911701302964,0.4596845794167533,0.6796230129976564,0.1328546685739497,0.49520238902892333,0.3374766590209865,0.22124074607833,0.026789807764100726,0.36900218043472105,0.5350353246545878,0.292024697147038,0.49550337392706456,0.5525749106786162,0.5901062001244548,0.8558211277294995,0.23224701808911907,0.40760499972074204,0.5190530683497158,0.29647826327022764,0.0,0.5126406913427247,0.6012653194777665,0.3294386226004723,0.6290305977122925,0.650912093886437,0.6095499781002979,1.0,0.38674647835232706,0.2787774299977365,0.7574093970240148,0.36997068563388613,0.06317666202317973,0.7024118039974081,0.5752672202648927,0.18094749230925644,0.7845773804467143,0.6501983819526015,0.276604590311361
8,0.5591239039794073,1.0,0.9995362843967471,0.238295528852641,0.818237841574557,0.6299974461159911,0.0010681640704896704,0.48545188235723097,0.4507838987737789,0.0,0.17088883290506715,0.2984806664825515,0.20634524259443895,0.0,0.33236958332173694,0.3026631751123572,0.23272226924930214,0.6980396554049569,0.24392422537498695,0.12124659363389614,0.353728411964059,0.2633108384920051,0.4029643333165583,0.6238854967933279,0.3079942266022003,0.4600351854301702,0.9020491038837591,0.5468276534520413,0.23042870716446598,0.6855754882797865,0.5055902316258379,0.15434330324169432,0.037144516829765564,0.4670380259082447,0.5006754722655578,0.16139842231875184,0.5177237695354356,0.47867485992576586,0.4818545336927147,0.7790426758868448,0.2757899921619301,0.5894414246230456,0.7465505230310094,0.2164158594800717,0.0,0.6474512121632108,0.535767785804023,0.13485292553969644,0.686811791261386,0.533464128550373,0.3849417271998727,1.0,0.34597507126134464,0.4582159420879371,0.9691517635544495,0.30831768079919986,0.1721835199818454,0.856511282731032,0.5219059889664325,0.14445965059512722,0.8668809303864745,0.5442416253040981,0.21296217004674955
9,0.7046352419255707,1.0,0.7539142161710396,0.33415867961914275,0.8435686008302146,0.5263186520120009,0.07008972483565842,0.5119733514354541,0.3976379443870496,0.0,0.17831794452821348,0.22470635517469437,0.08787424137782554,0.0,0.2659043160289916,0.27779144935474565,0.2747325231432811,1.0,0.27501712154529073,0.06516451103248169,0.40894591665120733,0.3250204532404404,0.31950187128671237,0.29539915978265174,0.34397118336278937,0.3978336326991584,0.47571047315335135,0.5169992227648355,0.2862087070400029,0.9525314623782896,0.5331147645092918,0.06321837285162468,0.13307650601766252,0.5363812690895908,0.39672876254783346,0.0,0.5299832116242242,0.41476027705856555,0.3714810659410595,0.7540997290622204,0.3185810660627287,0.7916998908286459,0.780730196921225,0.07138451187350943,0.11499578580982411,0.7233052436551655,0.39330650054366434,0.12673937995804568,0.6993800641465581,0.43368256008842804,0.4814354623991114,1.0,0.37210082721085164,0.618924729474659,0.9855512680527961,0.17653148147035677,0.33006802028734755,0.928248517034825,0.3970302109177415,0.3991205845352369,0.9248460985368686,0.4525977544559452,0.7424293021189331
